size;colors;obj_val;vars;constrs;nonzeros;bb_nodes;itercount;cuts;runtime
10;2;2.0;20;250;740;0;4;0;0.009359
10;3;3.0;30;370;1110;0;31;0;0.002805
10;4;3.0;40;490;1480;0;29;0;0.004154
10;5;1.0;50;610;1850;0;11;0;0.005568
10;6;3.0;60;730;2220;0;37;0;0.005229
10;7;3.0;70;850;2590;0;16;0;0.006186
10;8;3.0;80;970;2960;0;34;0;0.007617
10;9;4.0;90;1090;3330;1;52;0;0.010663
10;10;2.0;100;1210;3700;0;15;0;0.009283
20;2;5.0;40;2300;6880;0;28;0;0.01263
20;3;8.0;60;3440;10320;1;304;0;0.03872
20;4;10.0;80;4580;13760;1;671;0;0.22311
20;5;5.0;100;5720;17200;0;52;0;0.034776
20;6;8.0;120;6860;20640;1;330;0;0.065014
20;7;8.0;140;8000;24080;1;277;0;0.091299
20;8;9.0;160;9140;27520;1;250;0;0.106803
20;9;9.0;180;10280;30960;1;423;0;0.309406
20;10;8.0;200;11420;34400;1;213;0;0.128558
30;2;9.0;60;8150;24420;0;55;0;0.048698
30;3;14.0;90;12210;36630;1;486;0;0.757465
30;4;14.0;120;16270;48840;1;1394;0;0.546383
30;5;15.0;150;20330;61050;1;1952;0;0.992853
30;6;14.0;180;24390;73260;1;1319;0;0.532522
30;7;14.0;210;28450;85470;1;435;0;0.641925
30;8;14.0;240;32510;97680;1;2652;0;1.323995
30;9;17.0;270;36570;109890;218;9699;0;11.786437
30;10;14.0;300;40630;122100;1;636;0;0.752014
40;2;15.0;80;19800;59360;1;280;0;0.552138
40;3;17.0;120;29680;89040;1;1501;0;1.117399
40;4;21.0;160;39560;118720;1;4171;0;6.166473
40;5;21.0;200;49440;148400;1;4253;0;3.895434
40;6;21.0;240;59320;178080;1;4409;0;4.118534
40;7;24.0;280;69200;207760;60;17958;0;37.14237
40;8;20.0;320;79080;237440;1;4218;0;4.833982
40;9;23.0;360;88960;267120;1;7089;0;9.680266
40;10;21.0;400;98840;296800;1;8051;0;13.903495
50;2;15.0;100;39250;117700;0;418;0;0.240075
50;3;24.0;150;58850;176550;1;3286;0;4.234673
50;4;27.0;200;78450;235400;1;5277;0;10.979828
50;5;27.0;250;98050;294250;5;8692;0;32.705818
50;6;30.0;300;117650;353100;84;32591;0;85.988645
50;7;30.0;350;137250;411950;59;35466;0;93.332698
50;8;27.0;400;156850;470800;1;19001;0;19.357971
50;9;27.0;450;176450;529650;97;19274;0;80.036454
50;10;27.0;500;196050;588500;1;10516;0;51.931265
