instance_size;n_colors;objective_value;heuristic_sol_val;first_linear_relax_val;spent_time_in_seconds;n_BB_nodes
10;2;2.0;0.0;0.0;0.00713;0
10;3;3.0;0.0;0.0;0.002346;0
10;4;3.0;0.0;0.0;0.004567;0
10;5;1.0;0.0;0.0;0.003395;0
10;6;3.0;0.0;0.0;0.004598;0
10;7;3.0;0.0;0.0;0.005299;0
10;8;3.0;0.0;0.0;0.006002;0
10;9;4.0;0.0;0.0;0.008099;1
10;10;2.0;0.0;0.0;0.006212;0
20;2;5.0;0.0;0.0;0.013211;0
20;3;8.0;0.0;0.0;0.033332;1
20;4;10.0;0.0;0.0;0.157207;1
20;5;5.0;0.0;0.0;0.01868;0
20;6;8.0;0.0;0.0;0.045319;1
20;7;8.0;0.0;0.0;0.062308;1
20;8;9.0;0.0;0.0;0.0695;1
20;9;9.0;0.0;0.0;0.210752;1
20;10;8.0;0.0;0.0;0.113892;1
30;2;9.0;0.0;0.0;0.033383;0
30;3;14.0;0.0;0.0;0.490879;1
30;4;14.0;0.0;0.0;0.351068;1
30;5;15.0;0.0;0.0;0.668055;1
30;6;14.0;0.0;0.0;0.453593;1
30;7;14.0;0.0;0.0;0.562226;1
30;8;14.0;0.0;0.0;1.148175;1
30;9;17.0;0.0;0.0;10.000815;218
30;10;14.0;0.0;0.0;0.691171;1
40;2;15.0;0.0;0.0;0.509486;1
40;3;17.0;0.0;0.0;0.819716;1
40;4;21.0;0.0;0.0;4.457357;1
40;5;21.0;0.0;0.0;2.856288;1
40;6;21.0;0.0;0.0;3.665589;1
40;7;24.0;0.0;0.0;29.034902;60
40;8;20.0;0.0;0.0;3.892788;1
40;9;23.0;0.0;0.0;7.275515;1
40;10;21.0;0.0;0.0;10.215909;1
50;2;15.0;0.0;0.0;0.167803;0
50;3;24.0;0.0;0.0;3.233144;1
50;4;27.0;0.0;0.0;8.486431;1
50;5;27.0;0.0;0.0;25.00857;5
50;6;30.0;0.0;0.0;66.460878;84
50;7;30.0;0.0;0.0;71.388116;59
50;8;27.0;0.0;0.0;14.437698;1
50;9;27.0;0.0;0.0;59.93611;97
50;10;27.0;0.0;0.0;37.299413;1
