size;colors;obj_val;vars;constrs;nonzeros;bb_nodes;itercount;cuts;runtime
10;2;2.0;20;250;740;0;4;0;0.156017
10;3;3.0;30;370;1110;0;31;0;0.002579
10;4;3.0;40;490;1480;0;29;0;0.003662
10;5;1.0;50;610;1850;0;11;0;0.004368
10;6;3.0;60;730;2220;0;37;0;0.00706
10;7;3.0;70;850;2590;0;16;0;0.007008
10;8;3.0;80;970;2960;0;34;0;0.007426
10;9;4.0;90;1090;3330;1;52;0;0.009824
10;10;2.0;100;1210;3700;0;15;0;0.008814
20;2;5.0;40;2300;6880;0;28;0;0.010853
20;3;8.0;60;3440;10320;1;304;0;0.03349
20;4;10.0;80;4580;13760;1;621;8;0.205802
20;5;5.0;100;5720;17200;0;52;0;0.026482
20;6;8.0;120;6860;20640;1;330;0;0.058205
20;7;8.0;140;8000;24080;1;277;0;0.074674
20;8;9.0;160;9140;27520;1;250;0;0.09904
20;9;9.0;180;10280;30960;1;426;8;0.31509
20;10;8.0;200;11420;34400;1;213;0;0.109446
30;2;9.0;60;8150;24420;0;55;0;0.047907
30;3;14.0;90;12210;36630;1;494;5;0.592357
30;4;14.0;120;16270;48840;1;1396;4;0.516719
30;5;15.0;150;20330;61050;1;1872;10;0.817087
30;6;14.0;180;24390;73260;1;1334;4;0.500934
30;7;14.0;210;28450;85470;1;592;5;0.652321
30;8;14.0;240;32510;97680;1;2668;12;1.332029
30;9;17.0;270;36570;109890;1;1763;57;1.992302
30;10;14.0;300;40630;122100;1;799;4;0.902691
40;2;15.0;80;19800;59360;1;274;2;0.550417
40;3;17.0;120;29680;89040;1;1467;3;1.125814
40;4;21.0;160;39560;118720;1;3322;8;3.060538
40;5;21.0;200;49440;148400;1;3780;10;2.950879
40;6;21.0;240;59320;178080;1;4051;12;3.131706
40;7;24.0;280;69200;207760;1;10803;74;6.121886
40;8;20.0;320;79080;237440;1;4122;14;3.916813
40;9;23.0;360;88960;267120;1;8366;83;10.405486
40;10;21.0;400;98840;296800;1;6269;44;8.06521
50;2;15.0;100;39250;117700;0;418;0;0.264502
50;3;24.0;150;58850;176550;1;2773;3;2.698951
50;4;27.0;200;78450;235400;1;4000;12;7.204682
50;5;27.0;250;98050;294250;1;6824;57;12.318808
50;6;30.0;300;117650;353100;1;15767;101;20.067356
50;7;30.0;350;137250;411950;1;21423;52;17.930818
50;8;27.0;400;156850;470800;1;18304;22;13.520447
50;9;27.0;450;176450;529650;1;11122;215;27.387254
50;10;27.0;500;196050;588500;1;12516;344;50.053406
